actual 	 predictions 	 nonNegRsquared 	 cnSMAPE 	 |delta| 	 SMAPE 
actual 	 predictions 	 [0, +1] 		   [0, +1] 		 [0, 1] 	 [0, 2] 
1 2 3 4 5	2 1 5 5 5	0.3 		 0.7944444 		 0.4944444 		 0.4111111 
1 2 3 4 5	2 2 1 2 4	0 		 0.7444444 		 0.7444444 		 0.5111111 
1 2 3 4 5	2 2 1 2 5	0.1 		 0.7666667 		 0.6666667 		 0.4666667 
1 2 3 4 5	2 2 1 3 3	0 		 0.7547619 		 0.7547619 		 0.4904762 
1 2 3 4 5	2 2 1 3 4	0.3 		 0.7825397 		 0.4825397 		 0.4349206 
1 2 3 4 5	2 2 1 3 5	0.4 		 0.8047619 		 0.4047619 		 0.3904762 
1 2 3 4 5	2 2 1 4 3	0.1 		 0.7833333 		 0.6833333 		 0.4333333 
1 2 3 4 5	2 2 1 4 4	0.4 		 0.8111111 		 0.4111111 		 0.3777778 
1 2 3 4 5	2 2 1 4 5	0.5 		 0.8333333 		 0.3333333 		 0.3333333 
1 2 3 4 5	2 2 1 5 3	0 		 0.7611111 		 0.7611111 		 0.4777778 
1 2 3 4 5	2 2 1 5 4	0.3 		 0.7888889 		 0.4888889 		 0.4222222 
1 2 3 4 5	2 2 1 5 5	0.4 		 0.8111111 		 0.4111111 		 0.3777778 
1 2 3 4 5	2 2 2 2 3	0 		 0.7766667 		 0.7766667 		 0.4466667 
1 2 3 4 5	2 2 2 2 4	0.3 		 0.8044444 		 0.5044444 		 0.3911111 
1 2 3 4 5	2 2 2 2 5	0.4 		 0.8266667 		 0.4266667 		 0.3466667 
1 2 3 4 5	2 2 2 3 3	0.3 		 0.8147619 		 0.5147619 		 0.3704762 
1 2 3 4 5	2 2 2 3 4	0.6 		 0.8425397 		 0.2425397 		 0.3149206 
1 2 3 4 5	2 2 2 3 5	0.7 		 0.8647619 		 0.1647619 		 0.2704762 
1 2 3 4 5	2 2 2 4 3	0.4 		 0.8433333 		 0.4433333 		 0.3133333 
1 2 3 4 5	2 2 2 4 4	0.7 		 0.8711111 		 0.1711111 		 0.2577778 
1 2 3 4 5	2 2 2 4 5	0.8 		 0.8933333 		 0.09333333 		 0.2133333 
1 2 3 4 5	2 2 2 5 3	0.3 		 0.8211111 		 0.5211111 		 0.3577778 
1 2 3 4 5	2 2 2 5 4	0.6 		 0.8488889 		 0.2488889 		 0.3022222 
1 2 3 4 5	2 2 2 5 5	0.7 		 0.8711111 		 0.1711111 		 0.2577778 
1 2 3 4 5	2 2 3 1 5	0 		 0.8133333 		 0.8133333 		 0.3733333 
1 2 3 4 5	2 2 3 2 3	0.1 		 0.8166667 		 0.7166667 		 0.3666667 
1 2 3 4 5	2 2 3 2 4	0.4 		 0.8444444 		 0.4444444 		 0.3111111 
1 2 3 4 5	2 2 3 2 5	0.5 		 0.8666667 		 0.3666667 		 0.2666667 
1 2 3 4 5	2 2 3 3 3	0.4 		 0.8547619 		 0.4547619 		 0.2904762 
1 2 3 4 5	2 2 3 3 4	0.7 		 0.8825397 		 0.1825397 		 0.2349206 
1 2 3 4 5	2 2 3 3 5	0.8 		 0.9047619 		 0.1047619 		 0.1904762 
1 2 3 4 5	2 2 3 4 2	0 		 0.847619 		 0.847619 		 0.3047619 
1 2 3 4 5	2 2 3 4 3	0.5 		 0.8833333 		 0.3833333 		 0.2333333 
1 2 3 4 5	2 2 3 4 4	0.8 		 0.9111111 		 0.1111111 		 0.1777778 
1 2 3 4 5	2 2 3 4 5	0.9 		 0.9333333 		 0.03333333 		 0.1333333 
1 2 3 4 5	2 2 3 5 3	0.4 		 0.8611111 		 0.4611111 		 0.2777778 
1 2 3 4 5	2 2 3 5 4	0.7 		 0.8888889 		 0.1888889 		 0.2222222 
1 2 3 4 5	2 2 3 5 5	0.8 		 0.9111111 		 0.1111111 		 0.1777778 
1 2 3 4 5	2 2 4 2 3	0 		 0.7880952 		 0.7880952 		 0.4238095 
1 2 3 4 5	2 2 4 2 4	0.3 		 0.815873 		 0.515873 		 0.368254 
1 2 3 4 5	2 2 4 2 5	0.4 		 0.8380952 		 0.4380952 		 0.3238095 
1 2 3 4 5	2 2 4 3 3	0.3 		 0.8261905 		 0.5261905 		 0.347619 
1 2 3 4 5	2 2 4 3 4	0.6 		 0.8539683 		 0.2539683 		 0.2920635 
1 2 3 4 5	2 2 4 3 5	0.7 		 0.8761905 		 0.1761905 		 0.247619 
1 2 3 4 5	2 2 4 4 3	0.4 		 0.8547619 		 0.4547619 		 0.2904762 
1 2 3 4 5	2 2 4 4 4	0.7 		 0.8825397 		 0.1825397 		 0.2349206 
1 2 3 4 5	2 2 4 4 5	0.8 		 0.9047619 		 0.1047619 		 0.1904762 
1 2 3 4 5	2 2 4 5 3	0.3 		 0.8325397 		 0.5325397 		 0.3349206 
1 2 3 4 5	2 2 4 5 4	0.6 		 0.8603175 		 0.2603175 		 0.2793651 
1 2 3 4 5	2 2 4 5 5	0.7 		 0.8825397 		 0.1825397 		 0.2349206 
1 2 3 4 5	2 2 5 2 4	0 		 0.7944444 		 0.7944444 		 0.4111111 
1 2 3 4 5	2 2 5 2 5	0.1 		 0.8166667 		 0.7166667 		 0.3666667 
1 2 3 4 5	2 2 5 3 3	0 		 0.8047619 		 0.8047619 		 0.3904762 
1 2 3 4 5	2 2 5 3 4	0.3 		 0.8325397 		 0.5325397 		 0.3349206 
1 2 3 4 5	2 2 5 3 5	0.4 		 0.8547619 		 0.4547619 		 0.2904762 
1 2 3 4 5	2 2 5 4 3	0.1 		 0.8333333 		 0.7333333 		 0.3333333 
1 2 3 4 5	2 2 5 4 4	0.4 		 0.8611111 		 0.4611111 		 0.2777778 
1 2 3 4 5	2 2 5 4 5	0.5 		 0.8833333 		 0.3833333 		 0.2333333 
1 2 3 4 5	2 2 5 5 3	0 		 0.8111111 		 0.8111111 		 0.3777778 
1 2 3 4 5	2 2 5 5 4	0.3 		 0.8388889 		 0.5388889 		 0.3222222 
1 2 3 4 5	2 2 5 5 5	0.4 		 0.8611111 		 0.4611111 		 0.2777778 
1 2 3 4 5	2 3 1 2 5	0 		 0.7266667 		 0.7266667 		 0.5466667 
1 2 3 4 5	2 3 1 3 4	0.2 		 0.7425397 		 0.5425397 		 0.5149206 
1 2 3 4 5	2 3 1 3 5	0.3 		 0.7647619 		 0.4647619 		 0.4704762 
1 2 3 4 5	2 3 1 4 3	0 		 0.7433333 		 0.7433333 		 0.5133333 
1 2 3 4 5	2 3 1 4 4	0.3 		 0.7711111 		 0.4711111 		 0.4577778 
1 2 3 4 5	2 3 1 4 5	0.4 		 0.7933333 		 0.3933333 		 0.4133333 
1 2 3 4 5	2 3 1 5 4	0.2 		 0.7488889 		 0.5488889 		 0.5022222 
1 2 3 4 5	2 3 1 5 5	0.3 		 0.7711111 		 0.4711111 		 0.4577778 
1 2 3 4 5	2 3 2 2 4	0.2 		 0.7644444 		 0.5644444 		 0.4711111 
1 2 3 4 5	2 3 2 2 5	0.3 		 0.7866667 		 0.4866667 		 0.4266667 
1 2 3 4 5	2 3 2 3 3	0.2 		 0.7747619 		 0.5747619 		 0.4504762 
1 2 3 4 5	2 3 2 3 4	0.5 		 0.8025397 		 0.3025397 		 0.3949206 
1 2 3 4 5	2 3 2 3 5	0.6 		 0.8247619 		 0.2247619 		 0.3504762 
1 2 3 4 5	2 3 2 4 3	0.3 		 0.8033333 		 0.5033333 		 0.3933333 
1 2 3 4 5	2 3 2 4 4	0.6 		 0.8311111 		 0.2311111 		 0.3377778 
1 2 3 4 5	2 3 2 4 5	0.7 		 0.8533333 		 0.1533333 		 0.2933333 
1 2 3 4 5	2 3 2 5 3	0.2 		 0.7811111 		 0.5811111 		 0.4377778 
1 2 3 4 5	2 3 2 5 4	0.5 		 0.8088889 		 0.3088889 		 0.3822222 
1 2 3 4 5	2 3 2 5 5	0.6 		 0.8311111 		 0.2311111 		 0.3377778 
1 2 3 4 5	2 3 3 2 3	0 		 0.7766667 		 0.7766667 		 0.4466667 
1 2 3 4 5	2 3 3 2 4	0.3 		 0.8044444 		 0.5044444 		 0.3911111 
1 2 3 4 5	2 3 3 2 5	0.4 		 0.8266667 		 0.4266667 		 0.3466667 
1 2 3 4 5	2 3 3 3 3	0.3 		 0.8147619 		 0.5147619 		 0.3704762 
1 2 3 4 5	2 3 3 3 4	0.6 		 0.8425397 		 0.2425397 		 0.3149206 
1 2 3 4 5	2 3 3 3 5	0.7 		 0.8647619 		 0.1647619 		 0.2704762 
1 2 3 4 5	2 3 3 4 3	0.4 		 0.8433333 		 0.4433333 		 0.3133333 
1 2 3 4 5	2 3 3 4 4	0.7 		 0.8711111 		 0.1711111 		 0.2577778 
1 2 3 4 5	2 3 3 4 5	0.8 		 0.8933333 		 0.09333333 		 0.2133333 
1 2 3 4 5	2 3 3 5 3	0.3 		 0.8211111 		 0.5211111 		 0.3577778 
1 2 3 4 5	2 3 3 5 4	0.6 		 0.8488889 		 0.2488889 		 0.3022222 
1 2 3 4 5	2 3 3 5 5	0.7 		 0.8711111 		 0.1711111 		 0.2577778 
1 2 3 4 5	2 3 4 2 4	0.2 		 0.775873 		 0.575873 		 0.448254 
1 2 3 4 5	2 3 4 2 5	0.3 		 0.7980952 		 0.4980952 		 0.4038095 
1 2 3 4 5	2 3 4 3 3	0.2 		 0.7861905 		 0.5861905 		 0.427619 
1 2 3 4 5	2 3 4 3 4	0.5 		 0.8139683 		 0.3139683 		 0.3720635 
1 2 3 4 5	2 3 4 3 5	0.6 		 0.8361905 		 0.2361905 		 0.327619 
1 2 3 4 5	2 3 4 4 3	0.3 		 0.8147619 		 0.5147619 		 0.3704762 
1 2 3 4 5	2 3 4 4 4	0.6 		 0.8425397 		 0.2425397 		 0.3149206 
1 2 3 4 5	2 3 4 4 5	0.7 		 0.8647619 		 0.1647619 		 0.2704762 
1 2 3 4 5	2 3 4 5 3	0.2 		 0.7925397 		 0.5925397 		 0.4149206 
1 2 3 4 5	2 3 4 5 4	0.5 		 0.8203175 		 0.3203175 		 0.3593651 
1 2 3 4 5	2 3 4 5 5	0.6 		 0.8425397 		 0.2425397 		 0.3149206 
1 2 3 4 5	2 3 5 2 5	0 		 0.7766667 		 0.7766667 		 0.4466667 
1 2 3 4 5	2 3 5 3 4	0.2 		 0.7925397 		 0.5925397 		 0.4149206 
1 2 3 4 5	2 3 5 3 5	0.3 		 0.8147619 		 0.5147619 		 0.3704762 
1 2 3 4 5	2 3 5 4 3	0 		 0.7933333 		 0.7933333 		 0.4133333 
1 2 3 4 5	2 3 5 4 4	0.3 		 0.8211111 		 0.5211111 		 0.3577778 
1 2 3 4 5	2 3 5 4 5	0.4 		 0.8433333 		 0.4433333 		 0.3133333 
1 2 3 4 5	2 3 5 5 4	0.2 		 0.7988889 		 0.5988889 		 0.4022222 
1 2 3 4 5	2 3 5 5 5	0.3 		 0.8211111 		 0.5211111 		 0.3577778 
1 2 3 4 5	2 4 1 3 5	0 		 0.7380952 		 0.7380952 		 0.5238095 
1 2 3 4 5	2 4 1 4 4	0 		 0.7444444 		 0.7444444 		 0.5111111 
1 2 3 4 5	2 4 1 4 5	0.1 		 0.7666667 		 0.6666667 		 0.4666667 
1 2 3 4 5	2 4 1 5 5	0 		 0.7444444 		 0.7444444 		 0.5111111 
1 2 3 4 5	2 4 2 2 5	0 		 0.76 		 0.76 		 0.48 
1 2 3 4 5	2 4 2 3 4	0.2 		 0.775873 		 0.575873 		 0.448254 
1 2 3 4 5	2 4 2 3 5	0.3 		 0.7980952 		 0.4980952 		 0.4038095 
1 2 3 4 5	2 4 2 4 3	0 		 0.7766667 		 0.7766667 		 0.4466667 
1 2 3 4 5	2 4 2 4 4	0.3 		 0.8044444 		 0.5044444 		 0.3911111 
1 2 3 4 5	2 4 2 4 5	0.4 		 0.8266667 		 0.4266667 		 0.3466667 
1 2 3 4 5	2 4 2 5 4	0.2 		 0.7822222 		 0.5822222 		 0.4355556 
1 2 3 4 5	2 4 2 5 5	0.3 		 0.8044444 		 0.5044444 		 0.3911111 
1 2 3 4 5	2 4 3 2 4	0 		 0.7777778 		 0.7777778 		 0.4444444 
1 2 3 4 5	2 4 3 2 5	0.1 		 0.8 		 0.7 		 0.4 
1 2 3 4 5	2 4 3 3 3	0 		 0.7880952 		 0.7880952 		 0.4238095 
1 2 3 4 5	2 4 3 3 4	0.3 		 0.815873 		 0.515873 		 0.368254 
1 2 3 4 5	2 4 3 3 5	0.4 		 0.8380952 		 0.4380952 		 0.3238095 
1 2 3 4 5	2 4 3 4 3	0.1 		 0.8166667 		 0.7166667 		 0.3666667 
1 2 3 4 5	2 4 3 4 4	0.4 		 0.8444444 		 0.4444444 		 0.3111111 
1 2 3 4 5	2 4 3 4 5	0.5 		 0.8666667 		 0.3666667 		 0.2666667 
1 2 3 4 5	2 4 3 5 3	0 		 0.7944444 		 0.7944444 		 0.4111111 
1 2 3 4 5	2 4 3 5 4	0.3 		 0.8222222 		 0.5222222 		 0.3555556 
1 2 3 4 5	2 4 3 5 5	0.4 		 0.8444444 		 0.4444444 		 0.3111111 
1 2 3 4 5	2 4 4 2 5	0 		 0.7714286 		 0.7714286 		 0.4571429 
1 2 3 4 5	2 4 4 3 4	0.2 		 0.7873016 		 0.5873016 		 0.4253968 
1 2 3 4 5	2 4 4 3 5	0.3 		 0.8095238 		 0.5095238 		 0.3809524 
1 2 3 4 5	2 4 4 4 3	0 		 0.7880952 		 0.7880952 		 0.4238095 
1 2 3 4 5	2 4 4 4 4	0.3 		 0.815873 		 0.515873 		 0.368254 
1 2 3 4 5	2 4 4 4 5	0.4 		 0.8380952 		 0.4380952 		 0.3238095 
1 2 3 4 5	2 4 4 5 4	0.2 		 0.7936508 		 0.5936508 		 0.4126984 
1 2 3 4 5	2 4 4 5 5	0.3 		 0.815873 		 0.515873 		 0.368254 
1 2 3 4 5	2 4 5 3 5	0 		 0.7880952 		 0.7880952 		 0.4238095 
1 2 3 4 5	2 4 5 4 4	0 		 0.7944444 		 0.7944444 		 0.4111111 
1 2 3 4 5	2 4 5 4 5	0.1 		 0.8166667 		 0.7166667 		 0.3666667 
1 2 3 4 5	2 4 5 5 5	0 		 0.7944444 		 0.7944444 		 0.4111111 
1 2 3 4 5	2 5 3 4 5	0 		 0.847619 		 0.847619 		 0.3047619 
1 2 3 4 5	3 1 1 3 5	0 		 0.7047619 		 0.7047619 		 0.5904762 
1 2 3 4 5	3 1 1 4 4	0 		 0.7111111 		 0.7111111 		 0.5777778 
1 2 3 4 5	3 1 1 4 5	0.1 		 0.7333333 		 0.6333333 		 0.5333333 
1 2 3 4 5	3 1 1 5 5	0 		 0.7111111 		 0.7111111 		 0.5777778 
1 2 3 4 5	3 1 2 2 5	0 		 0.7266667 		 0.7266667 		 0.5466667 
1 2 3 4 5	3 1 2 3 4	0.2 		 0.7425397 		 0.5425397 		 0.5149206 
1 2 3 4 5	3 1 2 3 5	0.3 		 0.7647619 		 0.4647619 		 0.4704762 
1 2 3 4 5	3 1 2 4 3	0 		 0.7433333 		 0.7433333 		 0.5133333 
1 2 3 4 5	3 1 2 4 4	0.3 		 0.7711111 		 0.4711111 		 0.4577778 
1 2 3 4 5	3 1 2 4 5	0.4 		 0.7933333 		 0.3933333 		 0.4133333 
1 2 3 4 5	3 1 2 5 4	0.2 		 0.7488889 		 0.5488889 		 0.5022222 
1 2 3 4 5	3 1 2 5 5	0.3 		 0.7711111 		 0.4711111 		 0.4577778 
1 2 3 4 5	3 1 3 2 4	0 		 0.7444444 		 0.7444444 		 0.5111111 
1 2 3 4 5	3 1 3 2 5	0.1 		 0.7666667 		 0.6666667 		 0.4666667 
1 2 3 4 5	3 1 3 3 3	0 		 0.7547619 		 0.7547619 		 0.4904762 
1 2 3 4 5	3 1 3 3 4	0.3 		 0.7825397 		 0.4825397 		 0.4349206 
1 2 3 4 5	3 1 3 3 5	0.4 		 0.8047619 		 0.4047619 		 0.3904762 
1 2 3 4 5	3 1 3 4 3	0.1 		 0.7833333 		 0.6833333 		 0.4333333 
1 2 3 4 5	3 1 3 4 4	0.4 		 0.8111111 		 0.4111111 		 0.3777778 
1 2 3 4 5	3 1 3 4 5	0.5 		 0.8333333 		 0.3333333 		 0.3333333 
1 2 3 4 5	3 1 3 5 3	0 		 0.7611111 		 0.7611111 		 0.4777778 
1 2 3 4 5	3 1 3 5 4	0.3 		 0.7888889 		 0.4888889 		 0.4222222 
1 2 3 4 5	3 1 3 5 5	0.4 		 0.8111111 		 0.4111111 		 0.3777778 
1 2 3 4 5	3 1 4 2 5	0 		 0.7380952 		 0.7380952 		 0.5238095 
1 2 3 4 5	3 1 4 3 4	0.2 		 0.7539683 		 0.5539683 		 0.4920635 
1 2 3 4 5	3 1 4 3 5	0.3 		 0.7761905 		 0.4761905 		 0.447619 
1 2 3 4 5	3 1 4 4 3	0 		 0.7547619 		 0.7547619 		 0.4904762 
1 2 3 4 5	3 1 4 4 4	0.3 		 0.7825397 		 0.4825397 		 0.4349206 
1 2 3 4 5	3 1 4 4 5	0.4 		 0.8047619 		 0.4047619 		 0.3904762 
1 2 3 4 5	3 1 4 5 4	0.2 		 0.7603175 		 0.5603175 		 0.4793651 
1 2 3 4 5	3 1 4 5 5	0.3 		 0.7825397 		 0.4825397 		 0.4349206 
1 2 3 4 5	3 1 5 3 5	0 		 0.7547619 		 0.7547619 		 0.4904762 
1 2 3 4 5	3 1 5 4 4	0 		 0.7611111 		 0.7611111 		 0.4777778 
1 2 3 4 5	3 1 5 4 5	0.1 		 0.7833333 		 0.6833333 		 0.4333333 
1 2 3 4 5	3 1 5 5 5	0 		 0.7611111 		 0.7611111 		 0.4777778 
1 2 3 4 5	3 2 1 3 4	0 		 0.7492063 		 0.7492063 		 0.5015873 
1 2 3 4 5	3 2 1 3 5	0.1 		 0.7714286 		 0.6714286 		 0.4571429 
1 2 3 4 5	3 2 1 4 4	0.1 		 0.7777778 		 0.6777778 		 0.4444444 
1 2 3 4 5	3 2 1 4 5	0.2 		 0.8 		 0.6 		 0.4 
1 2 3 4 5	3 2 1 5 4	0 		 0.7555556 		 0.7555556 		 0.4888889 
1 2 3 4 5	3 2 1 5 5	0.1 		 0.7777778 		 0.6777778 		 0.4444444 
1 2 3 4 5	3 2 2 2 4	0 		 0.7711111 		 0.7711111 		 0.4577778 
1 2 3 4 5	3 2 2 2 5	0.1 		 0.7933333 		 0.6933333 		 0.4133333 
1 2 3 4 5	3 2 2 3 3	0 		 0.7814286 		 0.7814286 		 0.4371429 
1 2 3 4 5	3 2 2 3 4	0.3 		 0.8092063 		 0.5092063 		 0.3815873 
1 2 3 4 5	3 2 2 3 5	0.4 		 0.8314286 		 0.4314286 		 0.3371429 
1 2 3 4 5	3 2 2 4 3	0.1 		 0.81 		 0.71 		 0.38 
1 2 3 4 5	3 2 2 4 4	0.4 		 0.8377778 		 0.4377778 		 0.3244444 
1 2 3 4 5	3 2 2 4 5	0.5 		 0.86 		 0.36 		 0.28 
1 2 3 4 5	3 2 2 5 3	0 		 0.7877778 		 0.7877778 		 0.4244444 
1 2 3 4 5	3 2 2 5 4	0.3 		 0.8155556 		 0.5155556 		 0.3688889 
1 2 3 4 5	3 2 2 5 5	0.4 		 0.8377778 		 0.4377778 		 0.3244444 
1 2 3 4 5	3 2 3 2 4	0.1 		 0.8111111 		 0.7111111 		 0.3777778 
1 2 3 4 5	3 2 3 2 5	0.2 		 0.8333333 		 0.6333333 		 0.3333333 
1 2 3 4 5	3 2 3 3 3	0.1 		 0.8214286 		 0.7214286 		 0.3571429 
1 2 3 4 5	3 2 3 3 4	0.4 		 0.8492063 		 0.4492063 		 0.3015873 
1 2 3 4 5	3 2 3 3 5	0.5 		 0.8714286 		 0.3714286 		 0.2571429 
1 2 3 4 5	3 2 3 4 3	0.2 		 0.85 		 0.65 		 0.3 
1 2 3 4 5	3 2 3 4 4	0.5 		 0.8777778 		 0.3777778 		 0.2444444 
1 2 3 4 5	3 2 3 4 5	0.6 		 0.9 		 0.3 		 0.2 
1 2 3 4 5	3 2 3 5 3	0.1 		 0.8277778 		 0.7277778 		 0.3444444 
1 2 3 4 5	3 2 3 5 4	0.4 		 0.8555556 		 0.4555556 		 0.2888889 
1 2 3 4 5	3 2 3 5 5	0.5 		 0.8777778 		 0.3777778 		 0.2444444 
1 2 3 4 5	3 2 4 2 4	0 		 0.7825397 		 0.7825397 		 0.4349206 
1 2 3 4 5	3 2 4 2 5	0.1 		 0.8047619 		 0.7047619 		 0.3904762 
1 2 3 4 5	3 2 4 3 3	0 		 0.7928571 		 0.7928571 		 0.4142857 
1 2 3 4 5	3 2 4 3 4	0.3 		 0.8206349 		 0.5206349 		 0.3587302 
1 2 3 4 5	3 2 4 3 5	0.4 		 0.8428571 		 0.4428571 		 0.3142857 
1 2 3 4 5	3 2 4 4 3	0.1 		 0.8214286 		 0.7214286 		 0.3571429 
1 2 3 4 5	3 2 4 4 4	0.4 		 0.8492063 		 0.4492063 		 0.3015873 
1 2 3 4 5	3 2 4 4 5	0.5 		 0.8714286 		 0.3714286 		 0.2571429 
1 2 3 4 5	3 2 4 5 3	0 		 0.7992063 		 0.7992063 		 0.4015873 
1 2 3 4 5	3 2 4 5 4	0.3 		 0.8269841 		 0.5269841 		 0.3460317 
1 2 3 4 5	3 2 4 5 5	0.4 		 0.8492063 		 0.4492063 		 0.3015873 
1 2 3 4 5	3 2 5 3 4	0 		 0.7992063 		 0.7992063 		 0.4015873 
1 2 3 4 5	3 2 5 3 5	0.1 		 0.8214286 		 0.7214286 		 0.3571429 
1 2 3 4 5	3 2 5 4 4	0.1 		 0.8277778 		 0.7277778 		 0.3444444 
1 2 3 4 5	3 2 5 4 5	0.2 		 0.85 		 0.65 		 0.3 
1 2 3 4 5	3 2 5 5 4	0 		 0.8055556 		 0.8055556 		 0.3888889 
1 2 3 4 5	3 2 5 5 5	0.1 		 0.8277778 		 0.7277778 		 0.3444444 
1 2 3 4 5	3 3 1 3 5	0 		 0.7314286 		 0.7314286 		 0.5371429 
1 2 3 4 5	3 3 1 4 4	0 		 0.7377778 		 0.7377778 		 0.5244444 
1 2 3 4 5	3 3 1 4 5	0.1 		 0.76 		 0.66 		 0.48 
1 2 3 4 5	3 3 1 5 5	0 		 0.7377778 		 0.7377778 		 0.5244444 
1 2 3 4 5	3 3 2 2 5	0 		 0.7533333 		 0.7533333 		 0.4933333 
1 2 3 4 5	3 3 2 3 4	0.2 		 0.7692063 		 0.5692063 		 0.4615873 
1 2 3 4 5	3 3 2 3 5	0.3 		 0.7914286 		 0.4914286 		 0.4171429 
1 2 3 4 5	3 3 2 4 3	0 		 0.77 		 0.77 		 0.46 
1 2 3 4 5	3 3 2 4 4	0.3 		 0.7977778 		 0.4977778 		 0.4044444 
1 2 3 4 5	3 3 2 4 5	0.4 		 0.82 		 0.42 		 0.36 
1 2 3 4 5	3 3 2 5 4	0.2 		 0.7755556 		 0.5755556 		 0.4488889 
1 2 3 4 5	3 3 2 5 5	0.3 		 0.7977778 		 0.4977778 		 0.4044444 
1 2 3 4 5	3 3 3 2 4	0 		 0.7711111 		 0.7711111 		 0.4577778 
1 2 3 4 5	3 3 3 2 5	0.1 		 0.7933333 		 0.6933333 		 0.4133333 
1 2 3 4 5	3 3 3 3 3	0 		 0.7814286 		 0.7814286 		 0.4371429 
1 2 3 4 5	3 3 3 3 4	0.3 		 0.8092063 		 0.5092063 		 0.3815873 
1 2 3 4 5	3 3 3 3 5	0.4 		 0.8314286 		 0.4314286 		 0.3371429 
1 2 3 4 5	3 3 3 4 3	0.1 		 0.81 		 0.71 		 0.38 
1 2 3 4 5	3 3 3 4 4	0.4 		 0.8377778 		 0.4377778 		 0.3244444 
1 2 3 4 5	3 3 3 4 5	0.5 		 0.86 		 0.36 		 0.28 
1 2 3 4 5	3 3 3 5 3	0 		 0.7877778 		 0.7877778 		 0.4244444 
1 2 3 4 5	3 3 3 5 4	0.3 		 0.8155556 		 0.5155556 		 0.3688889 
1 2 3 4 5	3 3 3 5 5	0.4 		 0.8377778 		 0.4377778 		 0.3244444 
1 2 3 4 5	3 3 4 2 5	0 		 0.7647619 		 0.7647619 		 0.4704762 
1 2 3 4 5	3 3 4 3 4	0.2 		 0.7806349 		 0.5806349 		 0.4387302 
1 2 3 4 5	3 3 4 3 5	0.3 		 0.8028571 		 0.5028571 		 0.3942857 
1 2 3 4 5	3 3 4 4 3	0 		 0.7814286 		 0.7814286 		 0.4371429 
1 2 3 4 5	3 3 4 4 4	0.3 		 0.8092063 		 0.5092063 		 0.3815873 
1 2 3 4 5	3 3 4 4 5	0.4 		 0.8314286 		 0.4314286 		 0.3371429 
1 2 3 4 5	3 3 4 5 4	0.2 		 0.7869841 		 0.5869841 		 0.4260317 
1 2 3 4 5	3 3 4 5 5	0.3 		 0.8092063 		 0.5092063 		 0.3815873 
1 2 3 4 5	3 3 5 3 5	0 		 0.7814286 		 0.7814286 		 0.4371429 
1 2 3 4 5	3 3 5 4 4	0 		 0.7877778 		 0.7877778 		 0.4244444 
1 2 3 4 5	3 3 5 4 5	0.1 		 0.81 		 0.71 		 0.38 
1 2 3 4 5	3 3 5 5 5	0 		 0.7877778 		 0.7877778 		 0.4244444 
1 2 3 4 5	3 4 2 3 5	0 		 0.7647619 		 0.7647619 		 0.4704762 
1 2 3 4 5	3 4 2 4 4	0 		 0.7711111 		 0.7711111 		 0.4577778 
1 2 3 4 5	3 4 2 4 5	0.1 		 0.7933333 		 0.6933333 		 0.4133333 
1 2 3 4 5	3 4 2 5 5	0 		 0.7711111 		 0.7711111 		 0.4577778 
1 2 3 4 5	3 4 3 3 4	0 		 0.7825397 		 0.7825397 		 0.4349206 
1 2 3 4 5	3 4 3 3 5	0.1 		 0.8047619 		 0.7047619 		 0.3904762 
1 2 3 4 5	3 4 3 4 4	0.1 		 0.8111111 		 0.7111111 		 0.3777778 
1 2 3 4 5	3 4 3 4 5	0.2 		 0.8333333 		 0.6333333 		 0.3333333 
1 2 3 4 5	3 4 3 5 4	0 		 0.7888889 		 0.7888889 		 0.4222222 
1 2 3 4 5	3 4 3 5 5	0.1 		 0.8111111 		 0.7111111 		 0.3777778 
1 2 3 4 5	3 4 4 3 5	0 		 0.7761905 		 0.7761905 		 0.447619 
1 2 3 4 5	3 4 4 4 4	0 		 0.7825397 		 0.7825397 		 0.4349206 
1 2 3 4 5	3 4 4 4 5	0.1 		 0.8047619 		 0.7047619 		 0.3904762 
1 2 3 4 5	3 4 4 5 5	0 		 0.7825397 		 0.7825397 		 0.4349206 
1 2 3 4 5	4 1 3 4 5	0 		 0.8133333 		 0.8133333 		 0.3733333 
1 2 3 4 5	4 2 2 4 5	0 		 0.84 		 0.84 		 0.32 
1 2 3 4 5	4 2 3 3 5	0 		 0.8514286 		 0.8514286 		 0.2971429 
1 2 3 4 5	4 2 3 4 4	0 		 0.8577778 		 0.8577778 		 0.2844444 
1 2 3 4 5	4 2 3 4 5	0.1 		 0.88 		 0.78 		 0.24 
1 2 3 4 5	4 2 3 5 5	0 		 0.8577778 		 0.8577778 		 0.2844444 
1 2 3 4 5	4 2 4 4 5	0 		 0.8514286 		 0.8514286 		 0.2971429 
1 2 3 4 5	4 3 3 4 5	0 		 0.84 		 0.84 		 0.32 
